"tanggal","TEST_NAME","jumlah"
"2021-06-01",Hemoglobin,2
"2021-06-01",Kolesterol HDL,2
"2021-06-01",Kolesterol LDL,2
"2021-06-01",Kolesterol Total,2
"2021-06-01",Lekosit,2
"2021-06-01",Limfosit,2
"2021-06-01",MCH,2
"2021-06-01",MCHC,2
"2021-06-01",MCV,2
"2021-06-01",Monosit,2
"2021-06-01",Neutrofil,2
"2021-06-01",RDW,2
"2021-06-01",Trigliserida,2
"2021-06-01",Trombosit,2
"2021-06-02",Antigen SARS-CoV-2 ,56
"2021-06-02",Hasil,2
"2021-06-03",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-03",Antigen SARS-CoV-2 ,50
"2021-06-03",Basofil,1
"2021-06-03",Eosinofil,1
"2021-06-03",Eritrosit,1
"2021-06-03",Hasil,7
"2021-06-03",Hematokrit,1
"2021-06-03",Hemoglobin,1
"2021-06-03",Lekosit,1
"2021-06-03",Limfosit,1
"2021-06-03",MCH,1
"2021-06-03",MCHC,1
"2021-06-03",MCV,1
"2021-06-03",Monosit,1
"2021-06-03",Neutrofil,1
"2021-06-03",RDW,1
"2021-06-03",Trombosit,1
"2021-06-04",Antibody IgG & IgM SARS-CoV-2,6
"2021-06-04",Antigen SARS-CoV-2 ,47
"2021-06-04",Basofil,1
"2021-06-04",Eosinofil,1
"2021-06-04",Eritrosit,1
"2021-06-04",Hasil,8
"2021-06-04",Hematokrit,1
"2021-06-04",Hemoglobin,1
"2021-06-04",Laju Endap Darah (LED),1
"2021-06-04",Lekosit,1
"2021-06-04",Limfosit,1
"2021-06-04",MCH,1
"2021-06-04",MCHC,1
"2021-06-04",MCV,1
"2021-06-04",Monosit,1
"2021-06-04",Neutrofil,1
"2021-06-04",RDW,1
"2021-06-04",SGOT,1
"2021-06-04",SGPT,1
"2021-06-04",Trombosit,1
"2021-06-05",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-05",Antigen SARS-CoV-2 ,51
"2021-06-05",Berat Jenis,1
"2021-06-05",Bilirubin,1
"2021-06-05",Darah Samar,1
"2021-06-05",Epitel,1
"2021-06-05",Eritrosit,1
"2021-06-05",Esterase Lekosit,1
"2021-06-05",Glukosa,1
"2021-06-05",Jamur,1
"2021-06-05",Kejernihan,1
"2021-06-05",Keton,1
"2021-06-05",Kristal,1
"2021-06-05",Lekosit,1
"2021-06-05",Nitrit,1
"2021-06-05",pH,1
"2021-06-05",Protein,1
"2021-06-05",Silinder,1
"2021-06-05",Urobilinogen,1
"2021-06-05",Warna,1
"2021-06-06",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-06",Antigen SARS-CoV-2 ,67
"2021-06-07",Antibody IgG & IgM SARS-CoV-2,2
"2021-06-07",Antigen SARS-CoV-2 ,62
"2021-06-07",Basofil,2
"2021-06-07",Berat Jenis,1
"2021-06-07",Bilirubin,1
"2021-06-07",Darah Samar,1
"2021-06-07",Dengue NS 1 Ag,1
"2021-06-07",Eosinofil,2
"2021-06-07",Epitel,1
"2021-06-07",Eritrosit,3
"2021-06-07",Esterase Lekosit,1
"2021-06-07",Glukosa,1
"2021-06-07",Hasil,8
"2021-06-07",HBsAg Rapid,1
"2021-06-07",Hematokrit,2
"2021-06-07",Hemoglobin,2
"2021-06-07",Jamur,1
"2021-06-07",Kejernihan,1
"2021-06-07",Keton,1
"2021-06-07",Kristal,1
"2021-06-07",Laju Endap Darah (LED),2
"2021-06-07",Lekosit,3
"2021-06-07",Limfosit,2
"2021-06-07",MCH,2
"2021-06-07",MCHC,2
"2021-06-07",MCV,2
"2021-06-07",Monosit,2
"2021-06-07",Neutrofil,2
"2021-06-07",Nitrit,1
"2021-06-07",pH,1
"2021-06-07",Protein,1
"2021-06-07",RDW,2
"2021-06-07",Silinder,1
"2021-06-07",TPHA,1
"2021-06-07",Trombosit,2
"2021-06-07",Urobilinogen,1
"2021-06-07",Warna,1
"2021-06-08",Antibody IgG & IgM SARS-CoV-2,3
"2021-06-08",Antigen SARS-CoV-2 ,60
"2021-06-08",Hasil,6
"2021-06-09",Antigen SARS-CoV-2 ,70
"2021-06-09",Hasil,7
"2021-06-10",Antibody IgG & IgM SARS-CoV-2,3
"2021-06-10",Antigen SARS-CoV-2 ,47
"2021-06-10",Basofil,1
"2021-06-10",Berat Jenis,1
"2021-06-10",Bilirubin,1
"2021-06-10",Darah Samar,1
"2021-06-10",Eosinofil,1
"2021-06-10",Epitel,1
"2021-06-10",Eritrosit,2
"2021-06-10",Esterase Lekosit,1
"2021-06-10",Glukosa,1
"2021-06-10",Glukosa Darah Sewaktu,1
"2021-06-10",Hasil,5
"2021-06-10",HBsAg,1
"2021-06-10",HBsAg Rapid,3
"2021-06-10",Hematokrit,1
"2021-06-10",Hemoglobin,1
"2021-06-10",Jamur,1
"2021-06-10",Kejernihan,1
"2021-06-10",Keton,1
"2021-06-10",Kristal,1
"2021-06-10",Lekosit,2
"2021-06-10",Limfosit,1
"2021-06-10",MCH,1
"2021-06-10",MCHC,1
"2021-06-10",MCV,1
"2021-06-10",Monosit,1
"2021-06-10",Neutrofil,1
"2021-06-10",Nitrit,1
"2021-06-10",pH,1
"2021-06-10",Protein,1
"2021-06-10",RDW,1
"2021-06-10",SARS-CoV2 Antibody (Kuantitatif),1
"2021-06-10",Silinder,1
"2021-06-10",Trombosit,1
"2021-06-10",Urobilinogen,1
"2021-06-10",Warna,1
"2021-06-11",Antibody IgG & IgM SARS-CoV-2,3
"2021-06-11",Antigen SARS-CoV-2 ,61
"2021-06-12",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-12",Antigen SARS-CoV-2 ,60
"2021-06-12",Hasil,3
"2021-06-13",Antibody IgG & IgM SARS-CoV-2,2
"2021-06-13",Antigen SARS-CoV-2 ,92
"2021-06-13",Basofil,1
"2021-06-13",Eosinofil,1
"2021-06-13",Eritrosit,1
"2021-06-13",Hasil,2
"2021-06-13",Hematokrit,1
"2021-06-13",Hemoglobin,1
"2021-06-13",Laju Endap Darah (LED),1
"2021-06-13",Lekosit,1
"2021-06-13",Limfosit,1
"2021-06-13",MCH,1
"2021-06-13",MCHC,1
"2021-06-13",MCV,1
"2021-06-13",Monosit,1
"2021-06-13",Neutrofil,1
"2021-06-13",RDW,1
"2021-06-13",S. Parathyphi CH (Widal),1
"2021-06-13",S. Paratyphi AH (Widal),1
"2021-06-13",S. Paratyphi AO (Widal),1
"2021-06-13",S. Paratyphi BH (Widal),1
"2021-06-13",S. Paratyphi BO (Widal),1
"2021-06-13",S. Paratyphi CO (Widal),1
"2021-06-13",S. Typhi H (Widal),1
"2021-06-13",S. Typhi O (Widal),1
"2021-06-13",SARS-CoV2 Antibody (Kuantitatif),1
"2021-06-13",Trombosit,1
"2021-06-14",Antibody IgG & IgM SARS-CoV-2,3
"2021-06-14",Antigen SARS-CoV-2 ,92
"2021-06-14",Hasil,8
"2021-06-15",Antigen SARS-CoV-2 ,129
"2021-06-15",Basofil,1
"2021-06-15",Eosinofil,1
"2021-06-15",Eritrosit,1
"2021-06-15",Glukosa Darah Sewaktu,1
"2021-06-15",Hasil,23
"2021-06-15",Hematokrit,1
"2021-06-15",Hemoglobin,1
"2021-06-15",Kolesterol HDL,1
"2021-06-15",Kolesterol LDL Direk,1
"2021-06-15",Kolesterol Total,1
"2021-06-15",Laju Endap Darah (LED),1
"2021-06-15",Lekosit,1
"2021-06-15",Limfosit,1
"2021-06-15",MCH,1
"2021-06-15",MCHC,1
"2021-06-15",MCV,1
"2021-06-15",Monosit,1
"2021-06-15",Neutrofil,1
"2021-06-15",RDW,1
"2021-06-15",SARS-CoV2 Antibody (Kuantitatif),2
"2021-06-15",Trigliserida,1
"2021-06-15",Trombosit,1
"2021-06-16",Anti HIV Rapid Kualiatif,1
"2021-06-16",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-16",Antigen SARS-CoV-2 ,122
"2021-06-16",Basofil,1
"2021-06-16",Eosinofil,1
"2021-06-16",Eritrosit,1
"2021-06-16",Glukosa Darah Sewaktu,1
"2021-06-16",Hasil,24
"2021-06-16",HBsAg Rapid,1
"2021-06-16",Hematokrit,1
"2021-06-16",Hemoglobin,1
"2021-06-16",Laju Endap Darah (LED),1
"2021-06-16",Lekosit,1
"2021-06-16",Limfosit,1
"2021-06-16",MCH,1
"2021-06-16",MCHC,1
"2021-06-16",MCV,1
"2021-06-16",Monosit,1
"2021-06-16",Neutrofil,1
"2021-06-16",RDW,1
"2021-06-16",SARS-CoV2 Antibody (Kuantitatif),1
"2021-06-16",TPHA,1
"2021-06-16",Trombosit,1
"2021-06-16",VDRL,1
"2021-06-17",Antibody IgG & IgM SARS-CoV-2,2
"2021-06-17",Antigen SARS-CoV-2 ,133
"2021-06-17",Hasil,31
"2021-06-17",SARS-CoV2 Antibody (Kuantitatif),2
"2021-06-18",Antibody IgG & IgM SARS-CoV-2,2
"2021-06-18",Antigen SARS-CoV-2 ,118
"2021-06-18",Glukosa Darah Sewaktu,1
"2021-06-18",Hasil,44
"2021-06-18",Kolesterol Total,1
"2021-06-19",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-19",Antigen SARS-CoV-2 ,93
"2021-06-19",Asam Urat,1
"2021-06-19",Basofil,1
"2021-06-19",CK - MB,1
"2021-06-19",eGFR,1
"2021-06-19",Eosinofil,1
"2021-06-19",Eritrosit,1
"2021-06-19",Glukosa Darah Puasa,2
"2021-06-19",Hasil,25
"2021-06-19",HbA1C,2
"2021-06-19",Hematokrit,1
"2021-06-19",Hemoglobin,1
"2021-06-19",Kolesterol HDL,1
"2021-06-19",Kolesterol LDL,1
"2021-06-19",Kolesterol Total,1
"2021-06-19",Kreatinin,1
"2021-06-19",Laju Endap Darah (LED),1
"2021-06-19",LDH,1
"2021-06-19",Lekosit,1
"2021-06-19",Limfosit,1
"2021-06-19",MCH,1
"2021-06-19",MCHC,1
"2021-06-19",MCV,1
"2021-06-19",Monosit,1
"2021-06-19",Neutrofil,1
"2021-06-19",RDW,1
"2021-06-19",SGOT,1
"2021-06-19",SGPT,1
"2021-06-19",Trigliserida,1
"2021-06-19",Trombosit,1
"2021-06-19",Ureum,1
"2021-06-20",Antigen SARS-CoV-2 ,128
"2021-06-20",Asam Urat,1
"2021-06-20",Glukosa Darah 2 Jam PP,1
"2021-06-20",Glukosa Darah Puasa,1
"2021-06-20",Hasil,23
"2021-06-20",Kolesterol HDL,1
"2021-06-20",Kolesterol LDL Direk,1
"2021-06-20",Kolesterol Total,1
"2021-06-20",Trigliserida,1
"2021-06-21",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-21",Antigen SARS-CoV-2 ,155
"2021-06-21",Asam Urat,1
"2021-06-21",D-dimer,1
"2021-06-21",Glukosa Darah 2 Jam PP,1
"2021-06-21",Glukosa Darah Puasa,1
"2021-06-21",Hasil,57
"2021-06-21",Kolesterol HDL,1
"2021-06-21",Kolesterol LDL Direk,1
"2021-06-21",Kolesterol Total,1
"2021-06-21",Trigliserida,1
"2021-06-22",Antibody IgG & IgM SARS-CoV-2,2
"2021-06-22",Antigen SARS-CoV-2 ,162
"2021-06-22",D-dimer,1
"2021-06-22",Hasil,47
"2021-06-23",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-23",Antigen SARS-CoV-2 ,156
"2021-06-23",Basofil,1
"2021-06-23",Eosinofil,1
"2021-06-23",Eritrosit,1
"2021-06-23",Hasil,47
"2021-06-23",Hematokrit,1
"2021-06-23",Hemoglobin,1
"2021-06-23",Laju Endap Darah (LED),1
"2021-06-23",Lekosit,1
"2021-06-23",Limfosit,1
"2021-06-23",MCH,1
"2021-06-23",MCHC,1
"2021-06-23",MCV,1
"2021-06-23",Monosit,1
"2021-06-23",Neutrofil,1
"2021-06-23",RDW,1
"2021-06-23",Trombosit,1
"2021-06-24",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-24",Antigen SARS-CoV-2 ,174
"2021-06-24",Hasil,52
"2021-06-25",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-25",Antigen SARS-CoV-2 ,177
"2021-06-25",Basofil,1
"2021-06-25",Eosinofil,1
"2021-06-25",Eritrosit,1
"2021-06-25",Hasil,58
"2021-06-25",Hematokrit,1
"2021-06-25",Hemoglobin,1
"2021-06-25",Lekosit,1
"2021-06-25",Limfosit,1
"2021-06-25",MCH,1
"2021-06-25",MCHC,1
"2021-06-25",MCV,1
"2021-06-25",Monosit,1
"2021-06-25",Neutrofil,1
"2021-06-25",RDW,1
"2021-06-25",Trombosit,1
"2021-06-26",Antigen SARS-CoV-2 ,135
"2021-06-26",D-dimer,1
"2021-06-26",Hasil,51
"2021-06-26",SARS-CoV2 Antibody (Kuantitatif),1
"2021-06-27",Antibody IgG & IgM SARS-CoV-2,2
"2021-06-27",Antigen SARS-CoV-2 ,162
"2021-06-27",Hasil,63
"2021-06-28",Antigen SARS-CoV-2 ,156
"2021-06-28",Hasil,75
"2021-06-29",Antigen SARS-CoV-2 ,150
"2021-06-29",Hasil,76
"2021-06-30",Antibody IgG & IgM SARS-CoV-2,2
"2021-06-30",Antigen SARS-CoV-2 ,175
"2021-06-30",Hasil,53
"2021-07-01",Antibody IgG & IgM SARS-CoV-2,6
"2021-07-01",Antigen SARS-CoV-2 ,165
"2021-07-01",Hasil,62
"2021-07-02",Antigen SARS-CoV-2 ,147
"2021-07-02",Hasil,52
"2021-07-03",Antibody IgG & IgM SARS-CoV-2,2
"2021-07-03",Antigen SARS-CoV-2 ,106
"2021-07-03",Hasil,71
"2021-07-04",Antigen SARS-CoV-2 ,111
"2021-07-04",Hasil,47
"2021-07-05",Antibody IgG & IgM SARS-CoV-2,4
"2021-07-05",Antigen SARS-CoV-2 ,125
"2021-07-05",Basofil,2
"2021-07-05",Eosinofil,2
"2021-07-05",Eritrosit,2
"2021-07-05",Hasil,75
"2021-07-05",Hematokrit,2
"2021-07-05",Hemoglobin,2
"2021-07-05",Laju Endap Darah (LED),2
"2021-07-05",Lekosit,2
"2021-07-05",Limfosit,2
"2021-07-05",MCH,2
"2021-07-05",MCHC,2
"2021-07-05",MCV,2
"2021-07-05",Monosit,2
"2021-07-05",Neutrofil,2
"2021-07-05",RDW,2
"2021-07-05",S. Parathyphi CH (Widal),1
"2021-07-05",S. Paratyphi AH (Widal),1
"2021-07-05",S. Paratyphi AO (Widal),1
"2021-07-05",S. Paratyphi BH (Widal),1
"2021-07-05",S. Paratyphi BO (Widal),1
"2021-07-05",S. Paratyphi CO (Widal),1
"2021-07-05",S. Typhi H (Widal),1
"2021-07-05",S. Typhi O (Widal),1
"2021-07-05",SARS-CoV2 Antibody (Kuantitatif),1
"2021-07-05",Trombosit,2
"2021-07-06",Antigen SARS-CoV-2 ,119
"2021-07-06",Hasil,72
"2021-07-07",Antibody IgG & IgM SARS-CoV-2,2
"2021-07-07",Antigen SARS-CoV-2 ,133
"2021-07-07",Hasil,80
"2021-07-08",Antibody IgG & IgM SARS-CoV-2,4
"2021-07-08",Antigen SARS-CoV-2 ,115
"2021-07-08",Hasil,81
"2021-07-08",SARS-CoV2 Antibody (Kuantitatif),2
"2021-07-09",Antigen SARS-CoV-2 ,120
"2021-07-09",Hasil,70
"2021-07-10",Antibody IgG & IgM SARS-CoV-2,2
"2021-07-10",Antigen SARS-CoV-2 ,73
"2021-07-10",Hasil,70
"2021-07-11",Antigen SARS-CoV-2 ,94
"2021-07-11",Hasil,62
"2021-07-12",Antibody IgG & IgM SARS-CoV-2,1
"2021-07-12",Antigen SARS-CoV-2 ,84
"2021-07-12",Hasil,74
"2021-07-12",Kolesterol LDL,1
"2021-07-12",Kolesterol LDL Direk,1
"2021-07-12",Kolesterol Total,1
"2021-07-12",Trigliserida,1
"2021-07-13",Antibody IgG & IgM SARS-CoV-2,2
"2021-07-13",Antigen SARS-CoV-2 ,103
"2021-07-13",Hasil,71
"2021-07-13",Kolesterol HDL,1
"2021-07-13",Kolesterol LDL Direk,1
"2021-07-13",Kolesterol Total,1
"2021-07-13",Trigliserida,1
"2021-07-14",Antibody IgG & IgM SARS-CoV-2,4
"2021-07-14",Antigen SARS-CoV-2 ,102
"2021-07-14",D-dimer,1
"2021-07-14",Hasil,74
"2021-07-14",SARS-CoV2 Antibody (Kuantitatif),1
"2021-07-15",Antibody IgG & IgM SARS-CoV-2,1
"2021-07-15",Antigen SARS-CoV-2 ,83
"2021-07-15",Glukosa Darah Sewaktu,1
"2021-07-15",Hasil,58
"2021-07-16",Antibody IgG & IgM SARS-CoV-2,1
"2021-07-16",Antigen SARS-CoV-2 ,58
"2021-07-16",Hasil,76
"2021-07-17",Antigen SARS-CoV-2 ,50
"2021-07-17",Hasil,62
"2021-07-18",Antibody IgG & IgM SARS-CoV-2,3
"2021-07-18",Antigen SARS-CoV-2 ,66
"2021-07-18",Basofil,1
"2021-07-18",Eosinofil,1
"2021-07-18",Eritrosit,1
"2021-07-18",Hasil,35
"2021-07-18",Hematokrit,1
"2021-07-18",Hemoglobin,1
"2021-07-18",Laju Endap Darah (LED),1
"2021-07-18",Lekosit,1
"2021-07-18",Limfosit,1
"2021-07-18",MCH,1
"2021-07-18",MCHC,1
"2021-07-18",MCV,1
"2021-07-18",Monosit,1
"2021-07-18",Neutrofil,1
"2021-07-18",RDW,1
"2021-07-18",Trombosit,1
"2021-07-19",Antibody IgG & IgM SARS-CoV-2,3
"2021-07-19",Antigen SARS-CoV-2 ,102
"2021-07-19",Basofil,1
"2021-07-19",Eosinofil,1
"2021-07-19",Eritrosit,1
"2021-07-19",Hasil,77
"2021-07-19",Hematokrit,1
"2021-07-19",Hemoglobin,1
"2021-07-19",Laju Endap Darah (LED),1
"2021-07-19",Lekosit,1
"2021-07-19",Limfosit,1
"2021-07-19",MCH,1
"2021-07-19",MCHC,1
"2021-07-19",MCV,1
"2021-07-19",Monosit,1
"2021-07-19",Neutrofil,1
"2021-07-19",RDW,1
"2021-07-19",S. Parathyphi CH (Widal),1
"2021-07-19",S. Paratyphi AH (Widal),1
"2021-07-19",S. Paratyphi AO (Widal),1
"2021-07-19",S. Paratyphi BH (Widal),1
"2021-07-19",S. Paratyphi BO (Widal),1
"2021-07-19",S. Paratyphi CO (Widal),1
"2021-07-19",S. Typhi H (Widal),1
"2021-07-19",S. Typhi O (Widal),1
"2021-07-19",Trombosit,1
"2021-07-21",Antibody IgG & IgM SARS-CoV-2,1
"2021-07-21",Antigen SARS-CoV-2 ,100
"2021-07-21",Basofil,2
"2021-07-21",Eosinofil,2
"2021-07-21",Eritrosit,2
"2021-07-21",Hasil,89
"2021-07-21",Hematokrit,2
"2021-07-21",Hemoglobin,2
"2021-07-21",Laju Endap Darah (LED),1
"2021-07-21",Lekosit,2
"2021-07-21",Limfosit,2
"2021-07-21",MCH,2
"2021-07-21",MCHC,2
"2021-07-21",MCV,2
"2021-07-21",Monosit,2
"2021-07-21",Neutrofil,2
"2021-07-21",RDW,2
"2021-07-21",S. Parathyphi CH (Widal),1
"2021-07-21",S. Paratyphi AH (Widal),1
"2021-07-21",S. Paratyphi AO (Widal),1
"2021-07-21",S. Paratyphi BH (Widal),1
"2021-07-21",S. Paratyphi BO (Widal),1
"2021-07-21",S. Paratyphi CO (Widal),1
"2021-07-21",S. Typhi H (Widal),1
"2021-07-21",S. Typhi O (Widal),1
"2021-07-21",Trombosit,2
"2021-07-22",Antigen SARS-CoV-2 ,59
"2021-07-22",Hasil,58
"2021-07-23",Antigen SARS-CoV-2 ,50
"2021-07-23",Hasil,80
"2021-07-24",Antigen SARS-CoV-2 ,53
"2021-07-24",Hasil,57
"2021-07-25",Antigen SARS-CoV-2 ,70
"2021-07-25",Basofil,1
"2021-07-25",D-dimer,1
"2021-07-25",Eosinofil,1
"2021-07-25",Eritrosit,1
"2021-07-25",Hasil,47
"2021-07-25",Hematokrit,1
"2021-07-25",Hemoglobin,1
"2021-07-25",Laju Endap Darah (LED),1
"2021-07-25",Lekosit,1
"2021-07-25",Limfosit,1
"2021-07-25",MCH,1
"2021-07-25",MCHC,1
"2021-07-25",MCV,1
"2021-07-25",Monosit,1
"2021-07-25",Neutrofil,1
"2021-07-25",RDW,1
"2021-07-25",SARS-CoV2 Antibody (Kuantitatif),1
"2021-07-25",Trombosit,1
"2021-07-26",Antibody IgG & IgM SARS-CoV-2,2
"2021-07-26",Antigen SARS-CoV-2 ,80
"2021-07-26",Asam Urat,1
"2021-07-26",Basofil,3
"2021-07-26",Berat Jenis,1
"2021-07-26",Bilirubin,1
"2021-07-26",Darah Samar,1
"2021-07-26",Eosinofil,3
"2021-07-26",Epitel,1
"2021-07-26",Eritrosit,4
"2021-07-26",Esterase Lekosit,1
"2021-07-26",Glukosa,1
"2021-07-26",Glukosa Darah Puasa,1
"2021-07-26",Glukosa Darah Sewaktu,2
"2021-07-26",Hasil,61
"2021-07-26",HBsAg Rapid,1
"2021-07-26",Hematokrit,3
"2021-07-26",Hemoglobin,3
"2021-07-26",Jamur,1
"2021-07-26",Kejernihan,1
"2021-07-26",Keton,1
"2021-07-26",Kolesterol HDL,1
"2021-07-26",Kolesterol LDL Direk,1
"2021-07-26",Kolesterol Total,2
"2021-07-26",Kristal,1
"2021-07-26",Laju Endap Darah (LED),2
"2021-07-26",Lekosit,4
"2021-07-26",Limfosit,3
"2021-07-26",MCH,3
"2021-07-26",MCHC,3
"2021-07-26",MCV,3
"2021-07-26",Monosit,3
"2021-07-26",Neutrofil,3
"2021-07-26",Nitrit,1
"2021-07-26",pH,1
"2021-07-26",Protein,1
"2021-07-26",RDW,3
"2021-07-26",SARS-CoV2 Antibody (Kuantitatif),1
"2021-07-26",Silinder,1
"2021-07-26",Trigliserida,1
