"tahun_bulan","LIST_TEST","PAY","jumlah_pembelian","income"
"2021-08","PCR SARS CoV-2 - Reguler, Biaya Adm CIto",795000.0,100,79500000
"2023-02",PCR SARS CoV-2 - Reguler,275000.0,99,27225000
"2023-01",PCR SARS CoV-2 - Reguler,275000.0,97,26675000
"2021-06",PCR SARS CoV-2 (CITO 1),1199000.0,95,113905000
"2022-03",Antigen SARS Cov-19 Nasal,125000.0,86,10750000
"2021-10",Antigen SARS-CoV-2 ,85500.0,83,7096500.0
"2022-09",Antigen SARS Cov-19 Nasal,125000.0,82,10250000
"2021-07",PCR SARS CoV-2 (CITO 1),990000.0,79,78210000
"2023-05",Antigen SARS-CoV-2 ,85000.0,77,6545000.0
"2022-01",PCR SARS CoV-2 (CITO 1),575000.0,73,41975000
"2023-03",PCR SARS CoV-2 - Reguler,275000.0,73,20075000
"2021-05",PCR SARS CoV-2 - Reguler,799000.0,69,55131000
"2021-12",PCR SARS CoV-2 (CITO 1),575000.0,68,39100000
"2022-04",Antigen SARS Cov-19 Nasal,125000.0,68,8500000.0
"2022-08",PCR SARS CoV-2 (CITO 1),575000.0,63,36225000
"2022-02",PCR SARS CoV-2 (CITO 1),575000.0,62,35650000
"2021-07",Antigen SARS-CoV-2 ,149000.0,57,8493000.0
"2021-11",Antigen SARS Cov-19 Nasal,125000.0,57,7125000.0
"2022-11","Hematologi Lengkap, SGOT, SGPT, Gamma GT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Ratio Kolesterol Total / HDL, Ureum, Asam Urat, Glukosa Darah Puasa, HbA1C, HBsAg, PSA Total, Urine Lengkap , Elektrokardiogram, Pemeriksaan Fisik, Thorax PA, USG Whole Abdomen, TREADMILL TEST, Kreatinin",1162514.0,54,62775756
"2023-05",PCR SARS CoV-2 - Reguler,275000.0,50,13750000
"2021-09",Antigen SARS-CoV-2 ,125000.0,49,6125000.0
"2021-07",Antigen SARS-CoV-2 ,89500.0,47,4206500.0
"2022-10",Antigen SARS Cov-19 Nasal,125000.0,46,5750000.0
"2022-02","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",370000.0,44,16280000
"2022-11",Antigen SARS Cov-19 Nasal,125000.0,44,5500000.0
"2022-07",PCR SARS CoV-2 (CITO 1),575000.0,43,24725000
"2022-11",PCR SARS CoV-2 (CITO 1),575000.0,43,24725000
"2021-07",Antibody IgG & IgM SARS-CoV-2,95000.0,43,4085000.0
"2021-06",Antibody IgG & IgM SARS-CoV-2,95000.0,42,3990000.0
"2021-09",PCR SARS CoV-2 (CITO 1),795000.0,38,30210000
"2022-03",PCR SARS CoV-2 (CITO 1),575000.0,38,21850000
"2022-09",PCR SARS CoV-2 (CITO 1),575000.0,38,21850000
"2023-04",Antigen SARS-CoV-2 ,85000.0,38,3230000.0
"2021-10",PCR SARS CoV-2 - Super Cito,1250000.0,37,46250000
"2021-10",PCR SARS CoV-2 - Reguler,445500.0,37,16483500
"2021-12",Antigen SARS-CoV-2 ,72200.0,37,2671400.0
"2022-01",Antigen SARS-CoV-2 ,45000.0,37,1665000.0
"2022-12",Antigen SARS Cov-19 Nasal,125000.0,36,4500000.0
"2022-06",PCR SARS CoV-2 (CITO 1),575000.0,34,19550000
"2023-04",PCR SARS CoV-2 - Reguler,275000.0,33,9075000.0
"2021-08",SARS-CoV2 Antibody (Kuantitatif),185000.0,33,6105000.0
"2021-05",Antigen SARS-CoV-2 ,149000.0,29,4321000.0
"2022-07",Hematologi Rutin,120000.0,28,3360000.0
"2021-11",Antigen SARS-CoV-2 ,90000.0,28,2520000.0
"2022-11","Hematologi Lengkap, SGOT, SGPT, Gamma GT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Ratio Kolesterol Total / HDL, Ureum, Asam Urat, Glukosa Darah Puasa, HbA1C, HBsAg, Urine Lengkap , Elektrokardiogram, Pemeriksaan Fisik, Thorax PA, USG Whole Abdomen, USG Mammae, TREADMILL TEST, PAP Smear, Kreatinin",1256818.0,26,32677268
"2022-06",Antigen SARS Cov-19 Nasal,125000.0,25,3125000.0
"2022-01",PCR SARS CoV-2 - Super Cito,895000.0,24,21480000
"2022-05",Antigen SARS Cov-19 Nasal,125000.0,24,3000000.0
"2022-10",Hematologi Rutin,120000.0,24,2880000.0
"2022-11",Antigen SARS Cov-19 Nasal,95000.0,24,2280000.0
"2022-05",PCR SARS CoV-2 (CITO 1),575000.0,23,13225000
"2022-05","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Asam Urat, Glukosa Darah Puasa",212500.0,23,4887500.0
"2021-12",Hematologi Rutin,125000.0,23,2875000.0
"2022-09",SCREENING NARKOBA,250000.0,22,5500000.0
"2022-10",PCR SARS CoV-2 (CITO 1),575000.0,21,12075000
"2022-08",SCREENING NARKOBA,175000.0,21,3675000.0
"2022-01",Hematologi Rutin,125000.0,21,2625000.0
"2023-02",Hematologi Rutin,120000.0,21,2520000.0
"2021-11",PCR SARS CoV-2 - Super Cito,895000.0,20,17900000
"2021-12",PCR SARS CoV-2 - Reguler,209000.0,19,3971000.0
"2022-09",Hematologi Rutin,120000.0,19,2280000.0
"2023-04",Antigen SARS-CoV-2 ,95000.0,19,1805000.0
"2022-09","Hematologi Rutin, Widal",380000.0,18,6840000.0
"2023-04",SARS-CoV2 Antibody (Kuantitatif),245000.0,18,4410000.0
"2022-11",Hematologi Rutin,120000.0,18,2160000.0
"2021-12",PCR SARS CoV-2 - Super Cito,895000.0,17,15215000
"2021-08","Hematologi Lengkap, SGOT, SGPT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Ureum, Kreatinin, eGFR, Asam Urat, Glukosa Darah Puasa, HbA1C",645000.0,17,10965000
"2022-04",PCR SARS CoV-2 (CITO 1),575000.0,17,9775000.0
"2022-10","Hematologi Rutin, Widal",380000.0,17,6460000.0
"2021-09",SCREENING NARKOBA,150000.0,17,2550000.0
"2022-08",Hematologi Lengkap,145000.0,17,2465000.0
"2022-04",Hematologi Rutin,120000.0,17,2040000.0
"2021-11",Hematologi Lengkap,148000.0,16,2368000.0
"2023-03",Antigen SARS Cov-19 Nasal,125000.0,16,2000000.0
"2023-01",Hematologi Rutin,120000.0,16,1920000.0
"2022-12",Hematologi Lengkap,145000.0,15,2175000.0
"2021-11",Hematologi Rutin,125000.0,15,1875000.0
"2022-12",Hematologi Rutin,120000.0,15,1800000.0
"2022-01","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",370000.0,14,5180000.0
"2022-07","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",370000.0,14,5180000.0
"2023-03",Hematologi Rutin,120000.0,14,1680000.0
"2021-05",Antibody IgG & IgM SARS-CoV-2,95000.0,14,1330000.0
"2022-02",Antigen SARS-CoV-2 ,45000.0,14,630000.0
"2022-09",Hematologi Lengkap,145000.0,13,1885000.0
"2021-10",Hematologi Rutin,125000.0,13,1625000.0
"2022-12",HBsAg Rapid,93750.0,13,1218750.0
"2021-08",Antigen SARS-CoV-2 ,89500.0,13,1163500.0
"2022-11","Hematologi Lengkap, SGOT, SGPT, Gamma GT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Ratio Kolesterol Total / HDL, Ureum, Asam Urat, Glukosa Darah Puasa, HbA1C, HBsAg, PSA Total, Urine Lengkap , Elektrokardiogram, Pemeriksaan Fisik, Thorax PA, USG Whole Abdomen, TREADMILL TEST, Anti-HBs kualitatif, Anti HCV Rapid Kualitatif, Kreatinin",1409768.0,12,16917216
"2021-08","Hematologi Lengkap, SGOT, SGPT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Ureum, Kreatinin, eGFR, Asam Urat, Glukosa Darah Puasa, HbA1C",641500.0,12,7698000.0
"2022-09","Hematologi Lengkap, SGOT, SGPT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Ureum, Asam Urat, Glukosa Darah Puasa, Urine Lengkap , Kreatinin, Konsultasi Dokter",495500.0,12,5946000.0
"2022-08","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",370000.0,12,4440000.0
"2022-07",SCREENING NARKOBA,250000.0,12,3000000.0
"2022-07",Hematologi Lengkap,145000.0,12,1740000.0
"2022-10",Hematologi Lengkap,145000.0,12,1740000.0
"2022-03",Hematologi Rutin,120000.0,12,1440000.0
"2022-06",Hematologi Rutin,120000.0,12,1440000.0
"2022-11","Hematologi Lengkap, SGOT, SGPT, Gamma GT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Ratio Kolesterol Total / HDL, Ureum, Asam Urat, Glukosa Darah Puasa, HbA1C, HBsAg, Urine Lengkap , Elektrokardiogram, Pemeriksaan Fisik, Thorax PA, USG Whole Abdomen, USG Mammae, TREADMILL TEST, PAP Smear, Anti HCV Rapid Kualitatif, Anti-HBs kualitatif, Kreatinin",1504072.0,11,16544792
"2023-01",PCR SARS CoV-2 (CITO 1),575000.0,11,6325000.0
"2023-02","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida",305000.0,11,3355000.0
"2023-01",Antigen SARS Cov-19 Nasal,125000.0,11,1375000.0
"2022-08","Hematologi Rutin, Widal",380000.0,10,3800000.0
"2022-03","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",370000.0,10,3700000.0
"2022-01",PCR SARS CoV-2 - Reguler,210000.0,10,2100000.0
"2021-12",Hematologi Lengkap,148000.0,10,1480000.0
"2022-05",Hematologi Lengkap,145000.0,10,1450000.0
"2022-05",Hematologi Rutin,120000.0,10,1200000.0
"2021-08",Antibody IgG & IgM SARS-CoV-2,95000.0,10,950000.0
"2021-10",PCR SARS CoV-2 (CITO 1),715500.0,9,6439500.0
"2021-09","Hematologi Lengkap, SGOT, SGPT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Ureum, Kreatinin, eGFR, Asam Urat, Glukosa Darah Puasa, HbA1C",645000.0,9,5805000.0
"2022-12",PCR SARS CoV-2 (CITO 1),575000.0,9,5175000.0
"2023-03",PCR SARS CoV-2 (CITO 1),575000.0,9,5175000.0
"2022-09","Hematologi Lengkap, Widal",405000.0,9,3645000.0
"2022-07","Hematologi Rutin, Widal",380000.0,9,3420000.0
"2021-12","Hematologi Rutin, Widal",344000.0,9,3096000.0
"2021-08","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Asam Urat, Glukosa Darah Puasa",260000.0,9,2340000.0
"2021-07",SARS-CoV2 Antibody (Kuantitatif),185000.0,9,1665000.0
"2023-03",Hematologi Lengkap,145000.0,9,1305000.0
"2023-02",Antigen SARS Cov-19 Nasal,125000.0,9,1125000.0
"2022-08",Hematologi Rutin,120000.0,9,1080000.0
"2023-05",Hematologi Lengkap,90000.0,9,810000.0
"2023-02",Antigen SARS-CoV-2 ,90000.0,9,810000.0
"2022-08",Urine Lengkap ,81000.0,9,729000.0
"2022-03",Antigen SARS-CoV-2 ,47500.0,9,427500.0
"2021-07",PCR SARS CoV-2 (CITO 1),1199000.0,8,9592000.0
"2022-12",PA Jaringan Sedang,950000.0,8,7600000.0
"2021-11",PCR SARS CoV-2 (CITO 1),795000.0,8,6360000.0
"2023-02","Hematologi Lengkap, Widal",405000.0,8,3240000.0
"2022-06","Hematologi Rutin, Widal",380000.0,8,3040000.0
"2021-08","Hematologi Lengkap, Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Asam Urat, Glukosa Darah Puasa",334000.0,8,2672000.0
"2021-10",SCREENING NARKOBA,150000.0,8,1200000.0
"2021-08",Hematologi Rutin,125000.0,8,1000000.0
"2021-09",Hematologi Rutin,125000.0,8,1000000.0
"2022-06",Antigen SARS Cov-19 Nasal,95000.0,8,760000.0
"2023-05",Hematologi Rutin,80000.0,8,640000.0
"2021-05",PCR SARS CoV-2 (CITO 1),1199000.0,7,8393000.0
"2023-01","Hematologi Lengkap, Widal",405000.0,7,2835000.0
"2021-08",Vitamin D 25 OH,360000.0,7,2520000.0
"2022-02","Hematologi Rutin, Widal",344000.0,7,2408000.0
"2021-06",SARS-CoV2 Antibody (Kuantitatif),185000.0,7,1295000.0
"2022-02",SCREENING NARKOBA,150000.0,7,1050000.0
"2022-01",Hematologi Lengkap,148000.0,7,1036000.0
"2022-06",Hematologi Lengkap,145000.0,7,1015000.0
"2022-11",Hematologi Lengkap,145000.0,7,1015000.0
"2023-01",Hematologi Lengkap,145000.0,7,1015000.0
"2021-12",Urine Lengkap ,93000.0,7,651000.0
"2023-01",Urine Lengkap ,81000.0,7,567000.0
"2021-07","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",978000.0,6,5868000.0
"2021-08",D-dimer,775000.0,6,4650000.0
"2023-02",PCR SARS CoV-2 (CITO 1),575000.0,6,3450000.0
"2022-08","Hematologi Lengkap, Widal",405000.0,6,2430000.0
"2022-11","Hematologi Lengkap, Widal",405000.0,6,2430000.0
"2022-11","Hematologi Rutin, Widal",380000.0,6,2280000.0
"2021-11","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",370000.0,6,2220000.0
"2023-03","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",370000.0,6,2220000.0
"2022-01","Hematologi Rutin, Widal",344000.0,6,2064000.0
"2022-06",SCREENING NARKOBA,250000.0,6,1500000.0
"2022-05","Anti HIV Rapid Kualiatif, HBsAg Rapid",250000.0,6,1500000.0
"2022-10",SCREENING NARKOBA,250000.0,6,1500000.0
"2021-10",SARS-CoV2 Antibody (Kuantitatif),185000.0,6,1110000.0
"2021-12",SARS-CoV2 Antibody (Kuantitatif),185000.0,6,1110000.0
"2023-05",SCREENING NARKOBA,170000.0,6,1020000.0
"2021-10",Hematologi Lengkap,148000.0,6,888000.0
"2022-02",Hematologi Lengkap,148000.0,6,888000.0
"2023-02","Ureum, Kreatinin ( eGFR )",140000.0,6,840000.0
"2021-10",Antigen SARS Cov-19 Nasal,125000.0,6,750000.0
"2022-09",Antigen SARS Cov-19 Nasal,95000.0,6,570000.0
"2022-06",Golongan Darah,90000.0,6,540000.0
"2023-02",Urine Lengkap ,81000.0,6,486000.0
"2022-02",Antigen SARS-CoV-2 ,47500.0,6,285000.0
"2022-03",Antigen SARS-CoV-2 ,45000.0,6,270000.0
"2022-04",Antigen SARS-CoV-2 ,45000.0,6,270000.0
"2021-12",Glukosa Darah Sewaktu,41000.0,6,246000.0
"2021-09",PCR SARS CoV-2 - Super Cito,1250000.0,5,6250000.0
"2022-09",PA Jaringan Sedang,950000.0,5,4750000.0
"2022-10",PA Jaringan Sedang,950000.0,5,4750000.0
"2022-05",PCR SARS CoV-2 - Super Cito,895000.0,5,4475000.0
"2021-09","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",590000.0,5,2950000.0
"2021-12","Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk, Trigliserida, Asam Urat, Glukosa Darah Puasa",465000.0,5,2325000.0
"2021-09",Vitamin D 25 OH,450000.0,5,2250000.0
"2022-12","Hematologi Lengkap, Widal",405000.0,5,2025000.0
"2023-02",PCR SARS CoV-2 (CITO 1),402500.0,5,2012500.0
"2022-04","Hematologi Rutin, Widal",380000.0,5,1900000.0
"2023-01",Analisa Sperma,380000.0,5,1900000.0
"2022-07","Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk, Trigliserida",370000.0,5,1850000.0
"2022-04","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",370000.0,5,1850000.0
"2022-09","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",370000.0,5,1850000.0
"2022-11","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",370000.0,5,1850000.0
"2022-01","Hematologi Lengkap, Widal",367000.0,5,1835000.0
"2021-11","Hematologi Rutin, Widal",344000.0,5,1720000.0
"2022-11","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida",305000.0,5,1525000.0
"2022-12","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida",305000.0,5,1525000.0
"2022-01","Hematologi Lengkap, Widal",267750.0,5,1338750.0
"2023-03",SCREENING NARKOBA,250000.0,5,1250000.0
"2023-04","Hematologi Rutin, Widal",220000.0,5,1100000.0
"2022-05",HbA1C,210000.0,5,1050000.0
"2021-09",SARS-CoV2 Antibody (Kuantitatif),185000.0,5,925000.0
"2022-07",SCREENING NARKOBA,175000.0,5,875000.0
"2023-03",Thorax PA,175000.0,5,875000.0
"2021-11",SCREENING NARKOBA,150000.0,5,750000.0
"2021-09",Hematologi Lengkap,148000.0,5,740000.0
"2023-02",Hematologi Lengkap,145000.0,5,725000.0
"2022-08","Ureum, Kreatinin",140000.0,5,700000.0
"2022-10",HBsAg Rapid,125000.0,5,625000.0
"2023-05",Antigen SARS Cov-19 Nasal,125000.0,5,625000.0
"2023-02",HBsAg Rapid,125000.0,5,625000.0
"2022-03",Urine Lengkap ,100000.0,5,500000.0
"2022-05",Urine Lengkap ,100000.0,5,500000.0
"2022-06",Urine Lengkap ,100000.0,5,500000.0
"2023-02",HBsAg Rapid,93750.0,5,468750.0
"2021-06","Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",978000.0,4,3912000.0
"2022-08",PCR SARS CoV-2 - Super Cito,895000.0,4,3580000.0
"2022-12","Hematologi Rutin, SGOT, SGPT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk, Trigliserida, Ureum, Glukosa Darah Puasa, Urine Lengkap , Elektrokardiogram, Pemeriksaan Fisik, Kreatinin ( eGFR )",788200.0,4,3152800.0
"2022-08","Hematologi Lengkap, SGOT, SGPT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk, Trigliserida, Ureum, Asam Urat, Glukosa Darah Puasa, Glukosa Darah 2 Jam PP, HBsAg Rapid, Urine Lengkap , Kreatinin, Anti-HBs kualitatif, Konsultasi Dokter",783000.0,4,3132000.0
"2023-05",PCR SARS CoV-2 (CITO 1),575000.0,4,2300000.0
"2021-10",PCR SARS CoV-2 - Reguler,490000.0,4,1960000.0
"2022-04","Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk, Trigliserida, Asam Urat, Glukosa Darah Puasa",490000.0,4,1960000.0
"2021-10","Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk, Trigliserida, Asam Urat, Glukosa Darah Puasa",465000.0,4,1860000.0
"2023-01","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Asam Urat, Glukosa Darah Puasa",420000.0,4,1680000.0
"2023-01",PCR SARS CoV-2 (CITO 1),402500.0,4,1610000.0
"2022-07","PCR SARS CoV-2 - Reguler, Antigen SARS Cov-19 Nasal",400000.0,4,1600000.0
"2021-07",PCR SARS CoV-2 - Reguler,399500.0,4,1598000.0
"2023-01","Hematologi Rutin, Widal",380000.0,4,1520000.0
"2023-02","Hematologi Rutin, Widal",380000.0,4,1520000.0
"2023-03","Hematologi Rutin, Widal",380000.0,4,1520000.0
"2023-01","Hematologi Lengkap, SGOT, SGPT, Kolesterol Total, Ureum, Kreatinin, Asam Urat, Glukosa Darah Puasa, Urine Lengkap , Pemeriksaan Fisik",361900.0,4,1447600.0
"2021-10","Hematologi Rutin, Widal",344000.0,4,1376000.0
"2023-04","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Glukosa Darah Puasa",267000.0,4,1068000.0
"2022-04",SCREENING NARKOBA,250000.0,4,1000000.0
"2022-12",SCREENING NARKOBA,250000.0,4,1000000.0
"2022-03","Hematologi Rutin, Antigen SARS-CoV-2 ",215000.0,4,860000.0
"2022-05",PCR SARS CoV-2 - Reguler,210000.0,4,840000.0
"2022-08",HbA1C,210000.0,4,840000.0
"2022-12",HbA1C,210000.0,4,840000.0
"2022-10",HAV IgG/IgM Kualitatif,200000.0,4,800000.0
"2022-03","Kolesterol Total, Asam Urat, Glukosa Darah Puasa",185000.0,4,740000.0
"2023-04",Thorax PA,175000.0,4,700000.0
"2021-08",Hematologi Lengkap,148000.0,4,592000.0
"2021-07",Hematologi Lengkap,148000.0,4,592000.0
"2022-03",Hematologi Lengkap,145000.0,4,580000.0
"2022-07","Ureum, Kreatinin",140000.0,4,560000.0
"2023-03","SGOT, SGPT",140000.0,4,560000.0
"2023-03","Ureum, Kreatinin ( eGFR )",140000.0,4,560000.0
"2022-02",Hematologi Rutin,125000.0,4,500000.0
"2023-05",Anti HIV Rapid Kualitatif,125000.0,4,500000.0
"2022-01",Hematologi Lengkap,103500.0,4,414000.0
"2021-10",Antigen SARS-CoV-2 ,90000.0,4,360000.0
"2022-01",Golongan Darah,86000.0,4,344000.0
"2023-06",Antigen SARS-CoV-2 ,85000.0,4,340000.0
"2022-05",Antigen SARS-CoV-2 ,45000.0,4,180000.0
"2021-09","Hematologi Lengkap, Vitamin D 25 OH, D-dimer, SGOT, SGPT, Kreatinin, HbA1C, SARS-CoV2 Antibody (Kuantitatif), CRP Kuantitatif",1350000.0,3,4050000.0
"2022-12","Hematologi Lengkap, SGOT, SGPT, Gamma GT, Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Ratio Kolesterol Total / HDL, Ureum, Kreatinin, Asam Urat, Glukosa Darah Puasa, HbA1C, Anti HBs, HBsAg Rapid, Urine Lengkap , Elektrokardiogram, Thorax PA, Konsultasi Dokter",1345500.0,3,4036500.0
"2023-02","Hematologi Rutin, Ferritin, Vitamin D 25 OH, Glukosa Darah Puasa, Anti HIV Rapid Kualitatif, HBsAg Rapid, Urine Lengkap ",1231000.0,3,3693000.0
"2023-01",PA Jaringan Sedang,950000.0,3,2850000.0
"2022-09",PCR SARS CoV-2 - Super Cito,895000.0,3,2685000.0
"2022-03",D-dimer,780000.0,3,2340000.0
"2021-09",D-dimer,775000.0,3,2325000.0
"2022-10","SGOT, SGPT, HBsAg, Anti HBs",623000.0,3,1869000.0
"2022-10","Hematologi Rutin, Golongan Darah, Glukosa Darah Sewaktu, Anti HIV Rapid Kualitatif, HBsAg Rapid, Urine Lengkap ",586000.0,3,1758000.0
"2023-02","PCR SARS CoV-2 (CITO 1), ADMIN HS",552500.0,3,1657500.0
"2021-05","Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk, Trigliserida, Asam Urat, Glukosa Darah Puasa",520000.0,3,1560000.0
"2023-01",USG Whole Abdomen,500000.0,3,1500000.0
"2022-11","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Asam Urat, Glukosa Darah Puasa",420000.0,3,1260000.0
"2022-10","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Asam Urat, Glukosa Darah Puasa",420000.0,3,1260000.0
"2023-02","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Asam Urat, Glukosa Darah Puasa",420000.0,3,1260000.0
"2022-06","Hematologi Lengkap, Widal",405000.0,3,1215000.0
"2022-10","Hematologi Lengkap, Widal",405000.0,3,1215000.0
"2022-09","PCR SARS CoV-2 - Reguler, Antigen SARS Cov-19 Nasal",400000.0,3,1200000.0
"2022-10","PCR SARS CoV-2 - Reguler, Antigen SARS Cov-19 Nasal",400000.0,3,1200000.0
"2022-03","Hematologi Rutin, Widal",380000.0,3,1140000.0
"2022-12","Hematologi Rutin, Widal",380000.0,3,1140000.0
"2022-12",Analisa Sperma,380000.0,3,1140000.0
"2021-12","PCR SARS CoV-2 - Reguler, Antigen SARS Cov-19 Nasal",375000.0,3,1125000.0
"2022-12","Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Asam Urat",375000.0,3,1125000.0
"2023-05",Analisa Sperma,375000.0,3,1125000.0
"2022-12",TSHs,375000.0,3,1125000.0
"2023-04","Hematologi Lengkap, CRP Kuantitatif",370000.0,3,1110000.0
"2021-08","Hematologi Lengkap, Widal",367000.0,3,1101000.0
